name,radius,distance,atmosphere,P. Habitable Class,P. Disc. Method,P. Disc. Year,
EPIC 201637175 b,2.8,225,hydrogen-rich,non-habitable,Primary Transit,2015,
EPIC 211391664 b,4.26,435,metals-rich,non-habitable,Primary Transit,2016,
EPIC 218916923 b,9.09,152,hydrogen-rich,non-habitable,Primary Transit,2017,
EPIC 219388192 b,10.49,300,hydrogen-rich,non-habitable,Primary Transit,2016,
EPIC 220504338 b,10.19,553.4,hydrogen-rich,non-habitable,Primary Transit,2016,
eps CrB b,11.68,67.9,hydrogen-rich,non-habitable,Radial Velocity,2012,
eps Eridani b,11.58,3.2,hydrogen-rich,non-habitable,Radial Velocity,2000,
eps Tau b,11.67,45,hydrogen-rich,non-habitable,Radial Velocity,2007,
eta Cet b,11.46,38,hydrogen-rich,non-habitable,Radial Velocity,2014,
eta Cet c,11.61,38,hydrogen-rich,non-habitable,Radial Velocity,2014,
Fomalhaut b,11.56,7.7,hydrogen-rich,non-habitable,Imaging,2008,
FU Tau b,11.28,140,hydrogen-rich,non-habitable,Imaging,2009,
FW Tau b,11.57,145,hydrogen-rich,non-habitable,Imaging,2013,
gamma Cephei b,11.51,13.79,hydrogen-rich,non-habitable,Radial Velocity,2003,
GJ 15 A b,1.69,3.59,metals-rich,non-habitable,Radial Velocity,2014,
GJ 27.1 b,4.03,23.99,metals-rich,non-habitable,Radial Velocity,2014,
GJ 86 A b,11.66,10.9,hydrogen-rich,non-habitable,Radial Velocity,2000,
GJ 160.2 b,3.72,23.12,metals-rich,non-habitable,Radial Velocity,2014,
GJ 163 b,3.77,15,metals-rich,non-habitable,Radial Velocity,2012,
GJ 163 c,1.83,15,metals-rich,psychroplanet,Radial Velocity,2012,
GJ 163 d,4.81,15,hydrogen-rich,non-habitable,Radial Velocity,2013,
GJ 176 b,1.9,9.42,metals-rich,non-habitable,Radial Velocity,2007,
GJ 179 b,9.89,12.3,hydrogen-rich,non-habitable,Radial Velocity,2010,
GJ 180 b,1.89,11.69,metals-rich,mesoplanet,Radial Velocity,2014,
GJ 180 c,1.77,11.69,metals-rich,mesoplanet,Radial Velocity,2014,
GJ 273 b,1.42,3.8,metals-rich,mesoplanet,Radial Velocity,2017,
GJ 273 c,1.1,3.8,metals-rich,non-habitable,Radial Velocity,2017,
GJ 317 b,11.47,15.1,hydrogen-rich,non-habitable,Radial Velocity,2007,
GJ 317 c,11.26,15.1,hydrogen-rich,non-habitable,Radial Velocity,2007,
GJ 328 b,11.39,19.8,hydrogen-rich,non-habitable,Radial Velocity,2013,
GJ 422 b,1.98,12.67,hydrogen-rich,mesoplanet,Radial Velocity,2014,
GJ 433 b,1.68,8.88,metals-rich,non-habitable,Radial Velocity,2009,
GJ 433 c,6.07,8.88,hydrogen-rich,non-habitable,Radial Velocity,2012,
GJ 436 b,4.26,10.2,metals-rich,non-habitable,Primary Transit,2004,
GJ 504 b,10.75,17.56,hydrogen-rich,non-habitable,Imaging,2013,
GJ 536 b,1.69,10.03,metals-rich,non-habitable,Radial Velocity,2016,
GJ 570 Db,9.58,5.91,hydrogen-rich,non-habitable,Imaging,          ,
GJ 581 b,4.31,6.21,metals-rich,non-habitable,Radial Velocity,2005,
GJ 581 c,1.69,6.21,metals-rich,non-habitable,Radial Velocity,2007,
GJ 581 e,1.27,6.21,metals-rich,non-habitable,Radial Velocity,2009,
GJ 649 b,7.89,10.34,hydrogen-rich,non-habitable,Radial Velocity,2009,
GJ 649 c,1.96,10.34,metals-rich,non-habitable,Radial Velocity,2013,
GJ 667 C b,1.71,6.8,metals-rich,non-habitable,Radial Velocity,2009,
GJ 667 C c,1.54,6.8,metals-rich,mesoplanet,Radial Velocity,2011,
GJ 667 C d,1.67,6.8,metals-rich,non-habitable,Radial Velocity,2013,
GJ 667 C e,1.4,6.8,metals-rich,psychroplanet,Radial Velocity,2013,
GJ 667 C f,1.4,6.8,metals-rich,psychroplanet,Radial Velocity,2013,
GJ 667 C g,1.62,6.8,hydrogen-rich,non-habitable,Radial Velocity,2013,
GJ 674 b,12.66,4.54,metals-rich,non-habitable,Radial Velocity,2007,
