name,radius,distance,atmosphere,P. Habitable Class,P. Disc. Method,P. Disc. Year,
HD 10180 e,5.02,39.4,metals-rich,non-habitable,Radial Velocity,2010,
HD 10180 f,4.94,39.4,metals-rich,non-habitable,Radial Velocity,2010,
HD 10180 g,4.76,39.4,metals-rich,non-habitable,Radial Velocity,2010,
HD 10180 h,6.83,39.4,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 10647 b,10.14,17.3,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 10697 b,11.68,32.56,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 11506 b,11.62,53.82,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 11506 c,9.89,53.82,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 11755 b,11.68,231.5,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 11964 b,9.32,33.98,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 11964 c,5.02,33.98,metals-rich,non-habitable,Radial Velocity,2005,
HD 11977 b,11.68,66.5,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 12484 b,11.56,51.1,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 12648 b,11.54,158.4,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 12661 b,11.39,37.16,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 12661 c,10.98,37.16,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 13189 b,11.34,185,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 13808 b,3.73,28.6,metals-rich,non-habitable,Radial Velocity,2011,
HD 13808 c,3.86,28.6,metals-rich,non-habitable,Radial Velocity,2011,
HD 13908 b,10,71.2,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 13908 c,11.68,71.2,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 13931 b,11.19,44.2,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 14067 b,11.65,163.4,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 16141 b,6.95,35.9,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 16175 b,11.68,59.8,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 16417 b,4.8,25.5,metals-rich,non-habitable,Radial Velocity,2009,
HD 17092 b,11.68,109,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 17156 b,12.26,78.24,hydrogen-rich,non-habitable,Primary Transit,2007,
HD 17674 b,10.01,44.5,hydrogen-rich,non-habitable,Radial Velocity,2017,
HD 18742 b,11.5,135,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 19467 b,9.2,30.86,hydrogen-rich,non-habitable,Imaging,2016,
HD 19994 b,11.06,22.38,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 20003 b,3.92,43.8,metals-rich,non-habitable,Radial Velocity,2011,
HD 20003 c,4.07,43.8,metals-rich,non-habitable,Radial Velocity,2011,
HD 20367 b,10.39,27,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 20781 b,3.93,35.4,metals-rich,non-habitable,Radial Velocity,2011,
HD 20781 c,4.3,35.4,metals-rich,non-habitable,Radial Velocity,2011,
HD 20782 b,11.21,36.02,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 20794 b,1.4,6.06,metals-rich,non-habitable,Radial Velocity,2011,
HD 20794 c,1.35,6.06,metals-rich,non-habitable,Radial Velocity,2011,
HD 20794 d,1.64,6.06,metals-rich,non-habitable,Radial Velocity,2011,
HD 20868 b,11.25,48.9,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 21693 b,3.72,32.4,metals-rich,non-habitable,Radial Velocity,2011,
HD 21693 c,4.69,32.4,metals-rich,non-habitable,Radial Velocity,2011,
HD 22781 b,11.36,31.79,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 23079 b,11.44,34.8,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 23127 b,10.92,89.1,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 23596 b,11.65,52,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 24040 b,11.66,46.51,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 24064 b,11.6,264.4,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 25171 b,10.17,55,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 27442 b,10.77,18.1,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 27631 b,10.87,45.5,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 27894 b,9.31,42.37,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 28185 b,11.68,39.4,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 28254 b,10.53,56.2,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 28678 b,11.08,227,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 29021 b,11.42,30.6,hydrogen-rich,non-habitable,Radial Velocity,2017,
HD 30177 b,11.65,54.7,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 30177 c,11.56,54.7,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 30562 b,10.7,26.5,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 30669 b,8.7,57,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 30856 b,11.15,118.1,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 31253 b,8.84,53.82,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 31527 b,3.87,38.6,metals-rich,non-habitable,Radial Velocity,2011,
HD 31527 c,4.3,38.6,metals-rich,non-habitable,Radial Velocity,2011,
HD 31527 d,4.36,38.6,metals-rich,non-habitable,Radial Velocity,2011,
HD 32518 b,11.57,117.4,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 33142 b,10.71,126,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 33283 b,11.09,86,metals-rich,non-habitable,Radial Velocity,2006,
HD 33564 b,11.61,20.98,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 33844 b,11.24,100.9,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 33844 c,11.11,100.9,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 34445 b,9.82,46.5,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 35759 b,11.64,72.5,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 37124 b,9.49,33,hydrogen-rich,non-habitable,Radial Velocity,1999,
HD 37124 c,9.42,33,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 37124 d,9.56,33,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 37605 b,11.53,44,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 37605 c,11.61,44,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 38283 b,7.97,37.7,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 38529 b,10.14,39.28,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 38529 c,10.7,39.28,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 38801 b,11.53,99.4,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 38858 b,5.36,15.2,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 39091 b,11.55,18.32,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 39194 b,1.53,25.9,metals-rich,non-habitable,Radial Velocity,2011,
HD 39194 c,1.74,25.9,metals-rich,non-habitable,Radial Velocity,2011,
HD 39194 d,1.67,25.9,metals-rich,non-habitable,Radial Velocity,2011,
HD 39392 b,11.39,94.2,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 40307 b,1.54,12.8,metals-rich,non-habitable,Radial Velocity,2008,
HD 40307 c,1.77,12.8,metals-rich,non-habitable,Radial Velocity,2008,
HD 40307 d,1.92,12.8,metals-rich,non-habitable,Radial Velocity,2008,
HD 40307 e,1.5,12.8,metals-rich,non-habitable,Radial Velocity,2012,
HD 40307 f,1.52,12.8,metals-rich,non-habitable,Radial Velocity,2012,
HD 40307 g,1.82,12.8,metals-rich,psychroplanet,Radial Velocity,2012,
HD 40979 b,11.66,33.3,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 41004 A b,11.46,42.5,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 41004 B b,11.87,43.03,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 42012 b,11,37.1,hydrogen-rich,non-habitable,Radial Velocity,2017,
HD 42618 b,4.17,23.5,metals-rich,non-habitable,Radial Velocity,2016,
HD 43197 b,9.24,54.9,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 43691 b,11.45,93.2,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 44219 b,9.17,50.43,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 45184 b,4,21.9,metals-rich,non-habitable,Radial Velocity,2011,
HD 45350 b,11.14,49,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 45364 b,6.66,32.6,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 45364 c,9.44,32.6,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 45652 b,8.7,36,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 46375 b,11.42,33.4,metals-rich,non-habitable,Radial Velocity,2000,
HD 47186 b,4.86,37.84,metals-rich,non-habitable,Radial Velocity,2008,
HD 47186 c,8.04,37.84,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 47366 b,11.11,80,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 47366 c,11.18,80,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 47536 b,11.68,121.36,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 48265 b,10.53,87.4,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 49674 b,10.98,40.7,metals-rich,non-habitable,Radial Velocity,2002,
HD 50499 b,11.09,47.26,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 50554 b,11.68,31.03,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 51608 b,4.04,34.8,metals-rich,non-habitable,Radial Velocity,2011,
HD 51608 c,4.49,34.8,metals-rich,non-habitable,Radial Velocity,2011,
HD 52265 b,10.36,28,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 52265 c,8.04,28,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 59686 A b,11.67,96.8,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 60532 b,11.6,25.7,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 60532 c,10.82,25.7,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 62509 b,11.54,10.34,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 63454 b,11.87,35.8,metals-rich,non-habitable,Radial Velocity,2005,
HD 63765 b,9.38,32.6,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 65216 b,10.66,34.3,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 65216 c,6.46,34.3,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 66141 b,11.68,80.9,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 66428 b,11.53,55,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 67087 b,11.57,88.8,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 67087 c,11.68,88.8,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 68402 b,11.57,78,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 68988 b,11.18,58,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 69830 b,6.2,12.6,metals-rich,non-habitable,Radial Velocity,2006,
HD 69830 c,6.46,12.6,metals-rich,non-habitable,Radial Velocity,2006,
HD 69830 d,7.37,12.6,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 70642 b,11.26,28.8,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 72659 b,11.58,49.8,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 72892 b,11.68,72.78,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 73256 b,11.19,36.5,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 73267 b,11.57,54.91,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 73526 b,11.37,99,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 73526 c,11.37,99,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 73534 b,10.51,96.99,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 74156 b,11.13,64.56,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 74156 c,11.65,64.56,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 75289 b,11.54,28.94,metals-rich,non-habitable,Radial Velocity,1999,
HD 75784 b,10.51,68.7,hydrogen-rich,non-habitable,Primary Transit,2014,
HD 75784 c,11.68,68.7,hydrogen-rich,non-habitable,Primary Transit,2015,
HD 75898 b,11.45,80.58,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 76700 b,11.09,59.7,metals-rich,non-habitable,Radial Velocity,2002,
HD 77065 b,9.7,31.7,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 77338 b,8.84,40.75,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 79498 b,10.76,49,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 80606 b,10.32,58.4,hydrogen-rich,non-habitable,Primary Transit,2001,
HD 81040 b,11.67,32.56,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 81688 b,11.13,88.26,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 82886 b,10.71,125,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 82943 b,11.34,27.46,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 82943 c,11.32,27.46,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 82943 d,7.61,27.46,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 83443 b,11.65,43.54,metals-rich,non-habitable,Radial Velocity,2002,
HD 85390 b,5.95,33.96,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 85390 c,6.8,33.96,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 85512 b,1.5,11.15,metals-rich,non-habitable,Radial Velocity,2011,
HD 86081 b,12.1,91,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 86226 b,10.92,42.48,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 86264 b,11.67,72.6,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 86950 b,11.63,169,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 87883 b,,18.1,,non-habitable,Radial Velocity,2009,
HD 88133 b,11.2,74.5,metals-rich,non-habitable,Radial Velocity,2004,
HD 89307 b,11.26,30.9,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 89744 b,11.62,40,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 89744 c,11.59,40,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 90156 b,4.5,39.6,metals-rich,non-habitable,Radial Velocity,2009,
HD 92788 b,10.44,32.82,hydrogen-rich,non-habitable,Radial Velocity,2000,
HD 92788 c,10.07,32.82,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 93083 b,8.16,28.9,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 93385 b,1.9,42.2,metals-rich,non-habitable,Radial Velocity,2011,
HD 93385 c,3.71,42.2,metals-rich,non-habitable,Radial Velocity,2011,
HD 95086 b,11.67,90.4,hydrogen-rich,non-habitable,Imaging,2013,
HD 95089 b,10.58,139,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 95127 b,11.68,300,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 95872 b,11.68,7.56,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 96063 b,10.07,158,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 96127 b,11.66,540,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 96167 b,9.51,84,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 96700 b,1.93,25.6,metals-rich,non-habitable,Radial Velocity,2011,
HD 96700 c,4,25.6,metals-rich,non-habitable,Radial Velocity,2011,
HD 97658 b,2.25,21.1,metals-rich,non-habitable,Primary Transit,2010,
HD 98219 b,11.15,134,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 98649 b,11.68,40.3,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 99109 b,8.85,60.5,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 99492 b,5.02,18,metals-rich,non-habitable,Radial Velocity,2004,
HD 99706 b,10.82,129,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 100655 b,11.08,122,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 100777 b,10.53,52.8,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 101930 b,7.69,30.49,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 102117 b,6.48,42,metals-rich,non-habitable,Radial Velocity,2004,
HD 102195 b,8.61,28.98,metals-rich,non-habitable,Radial Velocity,2005,
HD 102272 b,11.68,360,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 102272 c,11.48,360,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 102329 b,11.68,158,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 102365 b,4.31,9.24,metals-rich,non-habitable,Radial Velocity,2011,
HD 102956 b,10.19,126,metals-rich,non-habitable,Radial Velocity,2010,
HD 103197 b,5.39,49.3,metals-rich,non-habitable,Radial Velocity,2009,
HD 103720 b,9.31,41.6,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 103774 b,8.14,55,metals-rich,non-habitable,Radial Velocity,2013,
HD 104067 b,6.65,20.8,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 104985 b,11.64,102,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 106252 b,10.13,37.44,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 106270 b,11.52,84.9,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 106315 b,2.23,107.3,metals-rich,non-habitable,Primary Transit,2017,
HD 106315 c,3.94,107.3,metals-rich,non-habitable,Primary Transit,2017,
HD 106515 A b,11.59,35.2,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 106906 b,11.52,92,hydrogen-rich,non-habitable,Imaging,2013,
HD 107148 b,6.9,51.3,metals-rich,non-habitable,Radial Velocity,2006,
HD 108147 b,7.38,38.57,metals-rich,non-habitable,Radial Velocity,2002,
HD 108341 b,11.62,49.4,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 108863 b,11.48,139,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 108874 b,10.78,68.5,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 108874 c,10.3,68.5,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 109246 b,9.77,65.6,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 109271 b,4.42,62,metals-rich,non-habitable,Radial Velocity,2013,
HD 109271 c,4.95,62,metals-rich,non-habitable,Radial Velocity,2013,
HD 109749 b,11.09,59,metals-rich,non-habitable,Radial Velocity,2005,
HD 110014 b,11.53,90,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 110014 c,11.58,90,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 111232 b,11.68,29,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 113337 b,11.53,36.9,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 113538 b,8.1,15.8,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 113538 c,10.14,15.8,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 114386 b,10.64,28,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 114386 c,10.57,28,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 114613 b,8.75,20.67,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 114729 b,9.94,35,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 114762 b,11.52,39.46,hydrogen-rich,non-habitable,Radial Velocity,1989,
HD 114783 b,11.68,20.4,hydrogen-rich,non-habitable,Radial Velocity,2001,
HD 116029 b,11.31,123.2,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 117207 b,11.29,33,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 117618 b,6.55,38,metals-rich,non-habitable,Radial Velocity,2004,
HD 117618 c,6.8,38,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 118203 b,11.76,88.6,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 120084 b,11.68,97.7,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 121504 b,10.61,44.37,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 122562 b,10.68,53.8,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 125595 b,4.06,27.4,metals-rich,non-habitable,Radial Velocity,2009,
HD 125612 b,11.56,52.82,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 125612 c,4.53,52.82,metals-rich,non-habitable,Radial Velocity,2009,
HD 125612 d,11.67,52.82,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 126525 b,7.04,38.1,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 126614 b,8.22,72.4,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 128311 b,11.34,16.6,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 128311 c,11.67,16.6,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 128356 b,10.05,26.03,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 129445 b,11,67.61,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 130322 b,10.36,30,hydrogen-rich,non-habitable,Radial Velocity,1999,
HD 131399A b,11.66,98,hydrogen-rich,non-habitable,Imaging,2016,
HD 131496 b,11.35,110,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 132406 b,11.68,71,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 132563 B b,10.91,96,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 133131 A b,10.85,47,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 133131 A c,8.75,47,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 133131 B b,11.45,47,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 134060 b,3.83,24.2,metals-rich,non-habitable,Radial Velocity,2011,
HD 134060 c,6.21,24.2,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 134113 b,9.41,71.9,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 134606 b,1.95,26.5,metals-rich,non-habitable,Radial Velocity,2011,
HD 134606 c,3.94,26.5,metals-rich,non-habitable,Radial Velocity,2011,
HD 134606 d,5.78,26.5,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 134987 b,10.99,22.2,hydrogen-rich,non-habitable,Radial Velocity,1999,
HD 134987 c,9.89,22.2,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 136352 b,1.68,14.8,metals-rich,non-habitable,Radial Velocity,2011,
HD 136352 c,3.85,14.8,metals-rich,non-habitable,Radial Velocity,2011,
HD 136352 d,1.96,14.8,metals-rich,non-habitable,Radial Velocity,2011,
HD 136418 b,11.26,98.2,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 137388 b,7.03,38,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 139357 b,11.58,121.4,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 141399 b,8.61,36.17,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 141399 c,10.74,36.17,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 141399 d,10.56,36.17,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 141399 e,9.45,36.17,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 141937 b,11.58,33.46,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 142022 A b,10.36,35.87,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 142245 b,11.21,109.5,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 142415 b,11.02,34.2,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 143105 b,10.6,48.7,metals-rich,non-habitable,Radial Velocity,2016,
HD 143361 b,11.58,59.35,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 143761 b,10.35,17.24,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 143761 c,5.02,17.24,metals-rich,non-habitable,Radial Velocity,2016,
HD 145377 b,11.68,57.7,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 145457 b,11.54,126,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 145934 b,11.38,,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 147018 b,11.32,42.96,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 147018 c,11.68,42.96,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 147513 b,10.6,12.9,hydrogen-rich,non-habitable,Radial Velocity,2003,
HD 147873 b,11.68,104.93,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 147873 c,11.39,104.93,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 148156 b,9.96,53.05,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 148427 b,10.19,59.3,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 149026 b,8.04,78.9,metals-rich,non-habitable,Primary Transit,2005,
HD 149143 b,11.76,63,hydrogen-rich,non-habitable,Radial Velocity,2005,
HD 150433 b,6.43,29.6,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 150706 b,11.5,27.2,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 152079 b,11.56,85.17,hydrogen-rich,non-habitable,Radial Velocity,2010,
HD 152581 b,10.92,186,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 153950 b,11.51,49.6,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 154088 b,1.75,17.8,metals-rich,non-habitable,Radial Velocity,2011,
HD 154345 b,10.71,18.06,hydrogen-rich,non-habitable,Radial Velocity,2006,
HD 154672 b,11.68,65.8,hydrogen-rich,non-habitable,Radial Velocity,2008,
HD 154857 b,11.36,64.2,hydrogen-rich,non-habitable,Radial Velocity,2004,
HD 154857 c,11.47,64.2,hydrogen-rich,non-habitable,Radial Velocity,2014,
HD 155233 b,11.48,75.1,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 155358 b,9.96,43,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 155358 c,9.89,43,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 156279 b,11.58,36.6,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 156411 b,9.69,55.1,hydrogen-rich,non-habitable,Radial Velocity,2009,
HD 156668 b,1.58,24.5,metals-rich,non-habitable,Radial Velocity,2010,
HD 157172 b,5.77,31.9,metals-rich,non-habitable,Radial Velocity,2011,
HD 158038 b,11.15,103.6,hydrogen-rich,non-habitable,Radial Velocity,2011,
HD 159243 b,10.48,69.2,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 159243 c,11.21,69.2,hydrogen-rich,non-habitable,Radial Velocity,2013,
HD 159868 b,11.31,52.7,hydrogen-rich,non-habitable,Radial Velocity,2007,
HD 159868 c,9.66,52.7,hydrogen-rich,non-habitable,Radial Velocity,2012,
HD 160508 b,9.37,92.3,hydrogen-rich,non-habitable,Radial Velocity,2016,
HD 162004 b,10.94,22.16,hydrogen-rich,non-habitable,Radial Velocity,2015,
HD 162020 b,11.32,31.26,hydrogen-rich,non-habitable,Radial Velocity,2002,
HD 163296 b,7.69,122,hydrogen-rich,non-habitable,Other,2016,
HD 163296 c,7.69,122,hydrogen-rich,non-habitable,Other,2016,
HD 163607 b,9.77,69,hydrogen-rich,non-habitable,Radial Velocity,2011,
