name,zone,P. Mass Class,atmosphere,habitable,radius,S. Constellation,distance,P. Disc. Method,P. Disc. Year
2M 0122-24 b,Cold,Jovian,hydrogen-rich,non-habitable,11.2,Cet,36,Imaging,2013
HD 7199 b,Warm,Jovian,hydrogen-rich,non-habitable,7.61,Tuc,36,Radial Velocity,2011
HD 45652 b,Hot,Jovian,hydrogen-rich,non-habitable,8.7,Mon,36,Radial Velocity,2008
HD 20782 b,Warm,Jovian,hydrogen-rich,non-habitable,11.21,For,36.02,Radial Velocity,2006
HD 141399 b,Hot,Jovian,hydrogen-rich,non-habitable,8.61,Boo,36.17,Radial Velocity,2014
HD 141399 c,Hot,Jovian,hydrogen-rich,non-habitable,10.74,Boo,36.17,Radial Velocity,2014
HD 141399 d,Warm,Jovian,hydrogen-rich,non-habitable,10.56,Boo,36.17,Radial Velocity,2014
HD 141399 e,Cold,Jovian,hydrogen-rich,non-habitable,9.45,Boo,36.17,Radial Velocity,2014
HD 169830 b,Hot,Jovian,hydrogen-rich,non-habitable,11.54,Sgr,36.32,Radial Velocity,2000
HD 169830 c,Warm,Jovian,hydrogen-rich,non-habitable,11.66,Sgr,36.32,Radial Velocity,2003
HD 73256 b,Hot,Jovian,hydrogen-rich,non-habitable,11.19,Pyx,36.5,Radial Velocity,2003
HD 156279 b,Hot,Jovian,hydrogen-rich,non-habitable,11.58,Dra,36.6,Radial Velocity,2011
HD 113337 b,Hot,Jovian,hydrogen-rich,non-habitable,11.53,Dra,36.9,Radial Velocity,2013
