name,zone,P. Mass Class,atmosphere,habitable,radius,S. Constellation,distance,P. Disc. Method,P. Disc. Year
TYC-3667-1280-1 b,Hot,Jovian,hydrogen-rich,non-habitable,11.68,Cam,431,Radial Velocity,2016
Kepler-1013 b,Hot,Superterran,metals-rich,non-habitable,2.15,Cyg,433,Transit,2016
WASP-124 b,Hot,Jovian,metals-rich,non-habitable,13.89,PsA,433,Primary Transit,2016
EPIC 211391664 b,Hot,Neptunian,metals-rich,non-habitable,4.26,Cnc,435,Primary Transit,2016
Kepler-1069 b,Hot,Superterran,metals-rich,non-habitable,1.6,Cyg,435,Transit,2016
Kepler-1246 b,Hot,Terran,metals-rich,non-habitable,1.36,Cyg,435,Transit,2016
Kepler-1459 b,Hot,Terran,metals-rich,non-habitable,1.36,Lyr,435,Transit,2016
Kepler-466 b,Hot,Neptunian,metals-rich,non-habitable,2.84,Cyg,436,Transit,2016
Kepler-466 c,Hot,Terran,no-atmosphere,non-habitable,1.25,Cyg,436,Transit,2016
K2-15 b,Hot,Superterran,metals-rich,non-habitable,2.48,Vir,437,Transit,2016
Kepler-542 b,Hot,Superterran,metals-rich,non-habitable,1.57,Cyg,439,Transit,2016
Kepler-962 b,Hot,Superterran,metals-rich,non-habitable,1.97,Cyg,439,Transit,2016
Kepler-1482 b,Hot,Terran,no-atmosphere,non-habitable,1.01,Dra,442,Transit,2016
Kepler-1581 b,Hot,Subterran,no-atmosphere,non-habitable,0.8,Lyr,443,Transit,2016
Kepler-536 b,Hot,Neptunian,no-atmosphere,non-habitable,3.1,Cyg,446,Transit,2016
Kepler-1020 b,Hot,Superterran,hydrogen-rich,non-habitable,2.27,Cyg,446,Transit,2016
HAT-P-42 b,Hot,Jovian,metals-rich,non-habitable,14.3,Hya,447,Primary Transit,2012
Kepler-1164 b,Hot,Terran,no-atmosphere,non-habitable,1.12,Lyr,447,Transit,2016
Kepler-1642 b,Hot,Neptunian,metals-rich,non-habitable,3.19,Cyg,447,Transit,2016
Kepler-1642 c,Hot,Neptunian,metals-rich,non-habitable,2.65,Cyg,447,Transit,2016
HATS-46 b,Hot,Jovian,metals-rich,non-habitable,10.11,Phe,448,Primary Transit,2017
Kepler-511 b,Hot,Jovian,hydrogen-rich,non-habitable,6.35,Lyr,448,Transit,2016
Kepler-92 b,Hot,Neptunian,metals-rich,non-habitable,3.65,Lyr,448.57,Primary Transit,2013
Kepler-92 c,Hot,Superterran,metals-rich,non-habitable,2.45,Lyr,448.57,Primary Transit,2013
Kepler-92 d,Hot,Superterran,metals-rich,non-habitable,2.07,Lyr,448.57,Primary Transit,2015
Kepler-1423 b,Hot,Terran,metals-rich,non-habitable,1.06,Lyr,449,Transit,2016
Kepler-746 b,Hot,Terran,no-atmosphere,non-habitable,1.11,Lyr,450,Transit,2016
Kepler-1371 b,Hot,Subterran,no-atmosphere,non-habitable,0.73,Cyg,450,Transit,2016
Kepler-1371 c,Hot,Subterran,no-atmosphere,non-habitable,0.64,Cyg,450,Transit,2016
WASP-36 b,Hot,Jovian,hydrogen-rich,non-habitable,14.21,Hya,450,Primary Transit,2010
WASP-112 b,Hot,Jovian,metals-rich,non-habitable,13.34,PsA,450,Primary Transit,2014
Kepler-1037 b,Hot,Terran,no-atmosphere,non-habitable,1.28,Cyg,451,Transit,2016
HATS-3 b,Hot,Jovian,metals-rich,non-habitable,15.47,Cap,453,Primary Transit,2013
HATS-20 b,Hot,Jovian,metals-rich,non-habitable,8.69,Cen,454,Primary Transit,2016
Kepler-1179 b,Hot,Terran,metals-rich,non-habitable,1.32,Dra,454,Transit,2016
Kepler-1022 b,Hot,Superterran,metals-rich,non-habitable,2.36,Cyg,455,Transit,2016
Kepler-1222 b,Hot,Subterran,no-atmosphere,non-habitable,0.78,Cyg,455,Transit,2016
Kepler-1223 b,Hot,Terran,metals-rich,non-habitable,1.22,Lyr,455,Transit,2016
Kepler-1107 b,Hot,Terran,no-atmosphere,non-habitable,1.34,Lyr,457,Transit,2016
WASP-133 b,Hot,Jovian,metals-rich,non-habitable,13.55,Mic,457,Primary Transit,2016
Kepler-467 b,Hot,Superterran,metals-rich,non-habitable,2.25,Lyr,458,Transit,2016
Kepler-795 b,Hot,Superterran,metals-rich,non-habitable,1.68,Lyr,458,Transit,2016
CoRoT-1 b,Hot,Jovian,metals-rich,non-habitable,16.69,Mon,460,Primary Transit,2007
CoRoT-9 b,Hot,Jovian,hydrogen-rich,non-habitable,10.53,Ser,460,Primary Transit,2010
WASP-114 b,Hot,Jovian,hydrogen-rich,non-habitable,15,Peg,460,Primary Transit,2016
Kepler-984 b,Hot,Superterran,metals-rich,non-habitable,2.12,Cyg,461,Transit,2016
Kepler-1314 b,Hot,Neptunian,metals-rich,non-habitable,5.11,Cyg,462,Transit,2016
Kepler-1393 b,Hot,Subterran,no-atmosphere,non-habitable,0.8,Lyr,462,Transit,2016
HATS-44 b,Hot,Jovian,metals-rich,non-habitable,11.95,Col,463,Primary Transit,2017
Kepler-1570 b,Hot,Terran,metals-rich,non-habitable,1.06,Cyg,463,Transit,2016
Kepler-530 b,Hot,Neptunian,metals-rich,non-habitable,3.01,Dra,464,Transit,2016
Kepler-1086 b,Hot,Superterran,hydrogen-rich,non-habitable,2.44,Cyg,464,Transit,2016
Kepler-1086 c,Warm,Neptunian,metals-rich,non-habitable,2.93,Cyg,464,Transit,2016
Kepler-109 b,Hot,Terran,no-atmosphere,non-habitable,2.34,Lyr,464.73,Primary Transit,2014
Kepler-109 c,Hot,Terran,no-atmosphere,non-habitable,2.63,Lyr,464.73,Primary Transit,2014
Kepler-537 b,Hot,Terran,metals-rich,non-habitable,1.41,Cyg,465,Transit,2016
HATS-25 b,Hot,Jovian,metals-rich,non-habitable,14.11,Hya,466,Primary Transit,2016
Kepler-1341 b,Warm,Neptunian,metals-rich,non-habitable,2.99,Lyr,466,Transit,2016
Kepler-1579 b,Hot,Subterran,no-atmosphere,non-habitable,0.84,Cyg,466,Transit,2016
Kepler-513 b,Hot,Superterran,metals-rich,non-habitable,2.2,Dra,467,Transit,2016
Kepler-958 b,Hot,Superterran,metals-rich,non-habitable,2.06,Lyr,467,Transit,2016
Kepler-461 b,Hot,Neptunian,metals-rich,non-habitable,2.58,Cyg,468,Transit,2016
Kepler-787 b,Hot,Terran,no-atmosphere,non-habitable,1.28,Lyr,468,Transit,2016
HAT-P-51 b,Hot,Jovian,metals-rich,non-habitable,14.48,Psc,470,Primary Transit,2015
Kepler-997 b,Hot,Terran,no-atmosphere,non-habitable,1.36,Cyg,470,Transit,2016
KIC-12557548 b,Hot,Mercurian,no-atmosphere,non-habitable,0.85,Cyg,470,Primary Transit,2012
WASP-103 b,Hot,Jovian,metals-rich,non-habitable,17.11,Her,470,Primary Transit,2014
Kepler-845 b,Hot,Superterran,metals-rich,non-habitable,2.04,Cyg,471,Transit,2016
Kepler-534 b,Hot,Superterran,metals-rich,non-habitable,2.24,Cyg,473,Transit,2016
Kepler-1040 b,Hot,Superterran,metals-rich,non-habitable,2.08,Dra,473,Transit,2016
Kepler-103 b,Hot,Superterran,metals-rich,non-habitable,3.47,Lyr,473.56,Primary Transit,2014
Kepler-103 c,Hot,Neptunian,metals-rich,non-habitable,5.31,Lyr,473.56,Primary Transit,2014
Kepler-298 b,Hot,Superterran,metals-rich,non-habitable,1.96,Dra,474,Primary Transit,2014
Kepler-298 c,Hot,Superterran,metals-rich,non-habitable,1.93,Dra,474,Primary Transit,2014
Kepler-298 d,Warm,Superterran,hydrogen-rich,mesoplanet,2.5,Dra,474,Primary Transit,2014
Kepler-468 b,Hot,Jovian,,non-habitable,13.33,Cyg,474,Transit,2016
Kepler-1318 b,Warm,Neptunian,metals-rich,non-habitable,3.1,Lyr,475,Transit,2016
Kepler-1443 b,Hot,Terran,no-atmosphere,non-habitable,0.97,Lyr,475,Transit,2016
HATS-13 b,Hot,Jovian,metals-rich,non-habitable,13.57,Cap,476,Primary Transit,2015
Kepler-932 b,Hot,Terran,metals-rich,non-habitable,1.37,Cyg,478,Transit,2016
Kepler-964 b,Hot,Superterran,metals-rich,non-habitable,2.12,Cyg,478,Transit,2016
Kepler-898 b,Hot,Terran,metals-rich,non-habitable,1.49,Lyr,479,Transit,2016
TrES-4b,Hot,Jovian,metals-rich,non-habitable,19.11,Her,479,Primary Transit,2007
HAT-P-9 b,Hot,Jovian,metals-rich,non-habitable,15.68,Aur,480,Primary Transit,2008
HAT-P-55 b,Hot,Jovian,metals-rich,non-habitable,13.24,Her,480,Primary Transit,2015
WASP-61 b,Hot,Jovian,hydrogen-rich,non-habitable,13.89,Lep,480,Primary Transit,2011
EPIC 211418729 b,Hot,Jovian,hydrogen-rich,non-habitable,10.55,Cnc,481,Primary Transit,2017
Kepler-1079 b,Hot,Superterran,metals-rich,non-habitable,1.62,Cyg,481,Transit,2016
Kepler-935 b,Hot,Terran,metals-rich,non-habitable,1.34,Cyg,482,Transit,2016
Kepler-1445 b,Hot,Terran,no-atmosphere,non-habitable,0.96,Lyr,482,Transit,2016
Kepler-989 b,Hot,Superterran,metals-rich,non-habitable,2.21,Lyr,484,Transit,2016
Kepler-744 b,Hot,Superterran,metals-rich,non-habitable,1.62,Cyg,486,Transit,2016
Kepler-1163 b,Hot,Terran,no-atmosphere,non-habitable,1.03,Cyg,487,Transit,2016
Kepler-514 b,Hot,Superterran,metals-rich,non-habitable,1.71,Dra,489,Transit,2016
Kepler-931 b,Hot,Terran,metals-rich,non-habitable,1.33,Cyg,490,Transit,2016
Kepler-1450 b,Hot,Superterran,metals-rich,non-habitable,1.71,Cyg,490,Transit,2016
Kepler-1387 b,Hot,Terran,no-atmosphere,non-habitable,0.93,Cyg,491,Transit,2016
Kepler-520 b,Hot,Superterran,metals-rich,non-habitable,1.66,Cyg,492,Transit,2016
Kepler-520 c,Hot,Terran,no-atmosphere,non-habitable,1.06,Cyg,492,Transit,2016
Kepler-1388 b,Hot,Neptunian,metals-rich,non-habitable,2.59,Lyr,492,Transit,2016
Kepler-1388 c,Hot,Superterran,metals-rich,non-habitable,2.26,Lyr,492,Transit,2016
Kepler-1388 d,Hot,Neptunian,metals-rich,non-habitable,2.86,Lyr,492,Transit,2016
Kepler-1388 e,Hot,Superterran,hydrogen-rich,non-habitable,2.45,Lyr,492,Transit,2016
Kepler-1481 b,Hot,Terran,metals-rich,non-habitable,1.23,Cyg,493,Transit,2016
HATS-10 b,Hot,Jovian,metals-rich,non-habitable,10.85,Sgr,496,Primary Transit,2015
Kepler-1006 b,Hot,Terran,metals-rich,non-habitable,1.53,Cyg,496,Transit,2016
Kepler-1298 b,Hot,Terran,no-atmosphere,non-habitable,1.31,Dra,498,Transit,2016
Kepler-742 b,Hot,Neptunian,metals-rich,non-habitable,3.24,Lyr,499,Transit,2016
Kepler-967 b,Hot,Superterran,metals-rich,non-habitable,2.35,Lyr,499,Transit,2016
Kepler-967 c,Warm,Neptunian,metals-rich,non-habitable,3.65,Lyr,499,Transit,2016
Kepler-1418 b,Hot,Superterran,metals-rich,non-habitable,1.66,Lyr,499,Transit,2016
Kepler-1425 b,Hot,Terran,no-atmosphere,non-habitable,0.94,Cyg,499,Transit,2016
Kepler-607 b,Hot,Terran,no-atmosphere,non-habitable,0.87,Cyg,500,Transit,2016
NN Ser(AB) c,Cold,Jovian,hydrogen-rich,non-habitable,11.67,Ser,500,Pulsar,2010
NN Ser(AB) d,Cold,Jovian,hydrogen-rich,non-habitable,11.38,Ser,500,Pulsar,2009
PSR J2241-5236 b,Hot,Jovian,hydrogen-rich,non-habitable,11.46,Gru,500,Pulsar,2011
HAT-P-40 b,Hot,Jovian,metals-rich,non-habitable,19.38,Lac,501,Primary Transit,2012
Kepler-625 b,Hot,Superterran,metals-rich,non-habitable,1.99,Cyg,502,Transit,2016
Kepler-625 c,Hot,Terran,no-atmosphere,non-habitable,1.05,Cyg,502,Transit,2016
Kepler-1537 b,Hot,Terran,no-atmosphere,non-habitable,1.18,Cyg,503,Transit,2016
Kepler-526 b,Hot,Superterran,metals-rich,non-habitable,1.99,Cyg,504,Transit,2016
Kepler-1515 b,Hot,Jovian,hydrogen-rich,non-habitable,9.54,Cyg,504,Transit,2016
Kepler-900 b,Hot,Superterran,metals-rich,non-habitable,2.08,Cyg,505,Transit,2016
Kepler-1197 b,Hot,Terran,metals-rich,non-habitable,1.25,Lyr,505,Transit,2016
Kepler-1315 b,Hot,Terran,no-atmosphere,non-habitable,1.38,Cyg,505,Transit,2016
Kepler-1524 b,Hot,Neptunian,metals-rich,non-habitable,3.54,Cyg,506,Transit,2016
Kepler-1637 b,Hot,Terran,no-atmosphere,non-habitable,0.88,Dra,506,Transit,2016
Kepler-1036 b,Hot,Neptunian,metals-rich,non-habitable,3.01,Cyg,507,Transit,2016
Kepler-1395 b,Hot,Subterran,no-atmosphere,non-habitable,0.8,Cyg,507,Transit,2016
HATS-24 b,Hot,Jovian,hydrogen-rich,non-habitable,16.65,Pav,510,Primary Transit,2016
Kepler-1566 b,Hot,Subterran,no-atmosphere,non-habitable,0.78,Lyr,511,Transit,2016
Kepler-786 b,Hot,Superterran,hydrogen-rich,non-habitable,2.43,Cyg,512,Transit,2016
HATS-14 b,Hot,Jovian,hydrogen-rich,non-habitable,11.64,Cap,513,Primary Transit,2015
Kepler-646 b,Hot,Superterran,metals-rich,non-habitable,1.99,Cyg,513,Transit,2016
Kepler-889 b,Hot,Terran,no-atmosphere,non-habitable,1.09,Cyg,513,Transit,2016
Kepler-1005 b,Hot,Terran,metals-rich,non-habitable,1.5,Lyr,515,Transit,2016
Kepler-1332 b,Hot,Terran,metals-rich,non-habitable,1.37,Cyg,515,Transit,2016
Kepler-895 b,Hot,Terran,metals-rich,non-habitable,1.53,Cyg,516,Transit,2016
Kepler-1104 b,Hot,Terran,no-atmosphere,non-habitable,1.23,Cyg,516,Transit,2016
Kepler-1046 b,Hot,Superterran,metals-rich,non-habitable,1.71,Cyg,518,Transit,2016
Kepler-780 b,Hot,Terran,no-atmosphere,non-habitable,0.88,Lyr,520,Transit,2016
Kepler-1619 b,Hot,Subterran,no-atmosphere,non-habitable,0.76,Lyr,520,Transit,2016
HATS-28 b,Hot,Jovian,metals-rich,non-habitable,13.37,Tel,521,Primary Transit,2016
Kepler-905 b,Hot,Terran,metals-rich,non-habitable,1.41,Cyg,521,Transit,2016
Kepler-1389 b,Hot,Superterran,metals-rich,non-habitable,1.77,Lyr,521,Transit,2016
Kepler-1324 b,Hot,Terran,metals-rich,non-habitable,1.51,Lyr,522,Transit,2016
Kepler-499 b,Hot,Superterran,metals-rich,non-habitable,2.17,Cyg,523,Transit,2016
Kepler-649 b,Hot,Superterran,metals-rich,non-habitable,2.26,Lyr,525,Transit,2016
Kepler-882 b,Hot,Terran,no-atmosphere,non-habitable,1.23,Cyg,525,Transit,2016
Kepler-1058 b,Warm,Neptunian,metals-rich,non-habitable,2.72,Cyg,525,Transit,2016
Kepler-1442 b,Hot,Neptunian,metals-rich,non-habitable,3.93,Cyg,525,Transit,2016
Kepler-1477 b,Hot,Terran,metals-rich,non-habitable,1.18,Lyr,525,Transit,2016
Kepler-1385 b,Hot,Terran,no-atmosphere,non-habitable,0.85,Lyr,527,Transit,2016
Kepler-773 b,Hot,Terran,metals-rich,non-habitable,1.43,Lyr,528,Transit,2016
Kepler-847 b,Hot,Terran,no-atmosphere,non-habitable,1.18,Dra,529,Transit,2016
Kepler-1121 b,Hot,Superterran,metals-rich,non-habitable,1.9,Cyg,529,Transit,2016
Kepler-1560 b,Hot,Terran,no-atmosphere,non-habitable,0.88,Cyg,529,Transit,2016
Kepler-1323 b,Hot,Terran,no-atmosphere,non-habitable,1.52,Cyg,530,Transit,2016
WASP-92 b,Hot,Jovian,metals-rich,non-habitable,16.36,Her,530,Primary Transit,2016
Kepler-512 b,Hot,Neptunian,metals-rich,non-habitable,2.69,Cyg,531,Transit,2016
HATS-34 b,Hot,Jovian,metals-rich,non-habitable,16.02,Tuc,532,Primary Transit,2016
Kepler-572 b,Hot,Neptunian,metals-rich,non-habitable,2.58,Cyg,532,Transit,2016
Kepler-928 b,Hot,Superterran,metals-rich,non-habitable,1.59,Lyr,532,Transit,2016
Kepler-1235 b,Hot,Subterran,no-atmosphere,non-habitable,0.78,Lyr,533,Transit,2016
Kepler-283 b,Hot,Superterran,metals-rich,non-habitable,2.13,Cyg,534,Primary Transit,2014
Kepler-283 c,Warm,Superterran,metals-rich,mesoplanet,1.81,Cyg,534,Primary Transit,2014
Kepler-1414 b,Hot,Terran,metals-rich,non-habitable,1.23,Lyr,534,Transit,2016
HAT-P-35 b,Hot,Jovian,metals-rich,non-habitable,14.92,Hya,535,Primary Transit,2012
Kepler-651 b,Hot,Superterran,metals-rich,non-habitable,2.36,Lyr,537,Transit,2016
Kepler-640 b,Hot,Neptunian,metals-rich,non-habitable,2.55,Cyg,538,Transit,2016
Kepler-1169 b,Hot,Terran,no-atmosphere,non-habitable,0.94,Cyg,538,Transit,2016
Kepler-1576 b,Hot,Terran,no-atmosphere,non-habitable,1.04,Lyr,539,Transit,2016
HD 96127 b,Hot,Jovian,hydrogen-rich,non-habitable,11.66,UMa,540,Radial Velocity,2011
Kepler-1199 b,Hot,Terran,metals-rich,non-habitable,1.15,Cyg,540,Transit,2016
Kepler-1248 b,Hot,Terran,no-atmosphere,non-habitable,1.18,Cyg,540,Transit,2016
Kepler-1480 b,Hot,Superterran,metals-rich,non-habitable,1.67,Cyg,540,Transit,2016
Kepler-1365 b,Hot,Terran,no-atmosphere,non-habitable,0.92,Cyg,541,Transit,2016
Kepler-1365 c,Hot,Subterran,no-atmosphere,non-habitable,0.8,Cyg,541,Transit,2016
Kepler-1430 b,Hot,Terran,no-atmosphere,non-habitable,1.18,Lyr,541,Transit,2016
HAT-P-43 b,Hot,Jovian,metals-rich,non-habitable,14.37,Cnc,543,Primary Transit,2012
Kepler-1577 b,Hot,Terran,metals-rich,non-habitable,1.13,Cyg,543,Transit,2016
Kepler-783 b,Hot,Subterran,no-atmosphere,non-habitable,0.78,Cyg,544,Transit,2016
Kepler-1136 b,Hot,Superterran,metals-rich,non-habitable,1.64,Lyr,545,Transit,2016
Kepler-1228 b,Hot,Terran,metals-rich,non-habitable,1.53,Cyg,547,Transit,2016
Kepler-1321 b,Hot,Neptunian,metals-rich,non-habitable,4.92,Cyg,547,Transit,2016
Kepler-1321 c,Hot,Superterran,metals-rich,non-habitable,2.4,Cyg,547,Transit,2016
Kepler-1563 b,Hot,Subterran,no-atmosphere,non-habitable,0.75,Cyg,547,Transit,2016
Kepler-577 b,Hot,Superterran,metals-rich,non-habitable,2.54,Cyg,549,Transit,2016
Kepler-883 b,Hot,Superterran,metals-rich,non-habitable,1.78,Dra,549,Transit,2016
Kepler-4 b,Hot,Neptunian,metals-rich,non-habitable,4,Dra,550,Primary Transit,2010
Kepler-1485 b,Hot,Terran,metals-rich,non-habitable,1.47,Cyg,550,Transit,2016
WASP-78 b,Hot,Jovian,metals-rich,non-habitable,19.6,Eri,550,Primary Transit,2012
Kepler-842 b,Hot,Superterran,metals-rich,non-habitable,1.6,Cyg,552,Transit,2016
Kepler-1530 b,Hot,Superterran,metals-rich,non-habitable,1.64,Cyg,552,Transit,2016
Kepler-1530 c,Hot,Superterran,metals-rich,non-habitable,1.65,Cyg,552,Transit,2016
Kepler-734 b,Hot,Neptunian,metals-rich,non-habitable,3.56,Cyg,553,Transit,2016
EPIC 220504338 b,Hot,Jovian,hydrogen-rich,non-habitable,10.19,Psc,553.4,Primary Transit,2016
Kepler-1017 b,Hot,Superterran,metals-rich,non-habitable,1.99,Lyr,554,Transit,2016
Kepler-1050 b,Hot,Superterran,metals-rich,non-habitable,1.6,Dra,555,Transit,2016
Kepler-1050 c,Hot,Terran,metals-rich,non-habitable,1.48,Dra,555,Transit,2016
Kepler-1139 b,Hot,Terran,no-atmosphere,non-habitable,1.19,Lyr,555,Transit,2016
HATS-35 b,Hot,Jovian,metals-rich,non-habitable,16.4,Pav,557,Primary Transit,2016
Kepler-563 b,Hot,Neptunian,metals-rich,non-habitable,3.09,Cyg,557,Transit,2016
Kepler-661 b,Hot,Neptunian,metals-rich,non-habitable,3.07,Dra,558,Transit,2016
Kepler-922 b,Hot,Terran,no-atmosphere,non-habitable,1.42,Dra,558,Transit,2016
Kepler-1209 b,Hot,Terran,metals-rich,non-habitable,1.51,Cyg,558,Transit,2016
Kepler-1358 b,Hot,Terran,metals-rich,non-habitable,1.12,Lyr,558,Transit,2016
Kepler-1363 b,Hot,Terran,metals-rich,non-habitable,1.25,Cyg,559,Transit,2016
CoRoT-11 b,Hot,Jovian,hydrogen-rich,non-habitable,16.02,Ser,560,Primary Transit,2010
CoRoT-28 b,Hot,Jovian,metals-rich,non-habitable,10.7,Ser,560,Primary Transit,2012
Kepler-1378 b,Hot,Superterran,metals-rich,non-habitable,2.2,Cyg,562,Transit,2016
Kepler-1604 b,Hot,Terran,no-atmosphere,non-habitable,1.41,Lyr,562,Transit,2016
Kepler-550 b,Hot,Neptunian,metals-rich,non-habitable,4.41,Cyg,563,Transit,2016
Kepler-986 b,Hot,Superterran,metals-rich,non-habitable,2.36,Cyg,563,Transit,2016
Kepler-660 b,Hot,Neptunian,metals-rich,non-habitable,2.56,Cyg,564,Transit,2016
Kepler-525 b,Hot,Neptunian,metals-rich,non-habitable,2.63,Cyg,566,Transit,2016
Kepler-1047 b,Hot,Superterran,metals-rich,non-habitable,2.08,Cyg,566,Transit,2016
Kepler-1047 c,Hot,Terran,no-atmosphere,non-habitable,0.99,Cyg,566,Transit,2016
Kepler-878 b,Hot,Superterran,metals-rich,non-habitable,1.93,Lyr,567,Transit,2016
Kepler-911 b,Hot,Neptunian,no-atmosphere,non-habitable,2.6,Cyg,567,Transit,2016
Kepler-474 b,Hot,Neptunian,metals-rich,non-habitable,3.06,Cyg,568,Transit,2016
Kepler-567 b,Hot,Superterran,metals-rich,non-habitable,2.25,Cyg,568,Transit,2016
Kepler-578 b,Hot,Superterran,metals-rich,non-habitable,1.99,Lyr,568,Transit,2016
Kepler-999 b,Hot,Superterran,metals-rich,non-habitable,2.34,Cyg,568,Transit,2016
Kepler-1470 b,Hot,Terran,metals-rich,non-habitable,1.06,Lyr,569,Transit,2016
Kepler-77 b,Hot,Jovian,metals-rich,non-habitable,10.75,Cyg,570,Primary Transit,2013
Kepler-605 b,Hot,Terran,metals-rich,non-habitable,1.43,Lyr,570,Transit,2016
Kepler-605 c,Hot,Terran,no-atmosphere,non-habitable,0.86,Lyr,570,Transit,2016
WASP-141 b,Hot,Jovian,hydrogen-rich,non-habitable,13.55,Eri,570,Primary Transit,2016
Kepler-614 b,Hot,Superterran,metals-rich,non-habitable,2.39,Cyg,571,Transit,2016
Kepler-877 b,Hot,Superterran,metals-rich,non-habitable,2.12,Cyg,572,Transit,2016
Kepler-949 b,Hot,Neptunian,metals-rich,non-habitable,2.91,Cyg,572,Transit,2016
Kepler-1493 b,Hot,Terran,metals-rich,non-habitable,1.41,Lyr,572,Transit,2016
Kepler-1460 b,Hot,Superterran,metals-rich,non-habitable,1.96,Lyr,574,Transit,2016
Kepler-1526 b,Hot,Superterran,metals-rich,non-habitable,2.43,Lyr,576,Transit,2016
Kepler-831 b,Hot,Terran,metals-rich,non-habitable,1.27,Cyg,577,Transit,2016
Kepler-1224 b,Hot,Terran,metals-rich,non-habitable,1.33,Lyr,578,Transit,2016
Kepler-628 b,Hot,Jovian,metals-rich,non-habitable,8.39,Lyr,579,Transit,2016
Kepler-1200 b,Hot,Terran,no-atmosphere,non-habitable,1.06,Cyg,579,Transit,2016
Kepler-1559 b,Hot,Subterran,no-atmosphere,non-habitable,0.72,Cyg,580,Transit,2016
Kepler-1265 b,Hot,Terran,metals-rich,non-habitable,1.34,Lyr,581,Transit,2016
Kepler-1310 b,Hot,Terran,no-atmosphere,non-habitable,1.43,Lyr,583,Transit,2016
Kepler-1632 b,Hot,Superterran,hydrogen-rich,non-habitable,2.46,Cyg,584,Transit,2016
Kepler-145 b,Hot,Neptunian,metals-rich,non-habitable,2.55,Cyg,584.1,Primary Transit,2013
Kepler-145 c,Hot,Neptunian,hydrogen-rich,non-habitable,3.92,Cyg,584.1,Primary Transit,2013
BD+15 2940 b,Hot,Jovian,hydrogen-rich,non-habitable,10.45,Ser,585,Radial Velocity,2013
Kepler-1061 b,Hot,Superterran,metals-rich,non-habitable,1.98,Cyg,585,Transit,2016
Kepler-465 b,Hot,Neptunian,metals-rich,non-habitable,2.95,Lyr,587,Transit,2016
Kepler-1276 b,Hot,Terran,metals-rich,non-habitable,1.19,Lyr,587,Transit,2016
Kepler-1406 b,Hot,Terran,no-atmosphere,non-habitable,1.1,Cyg,587,Transit,2016
Kepler-1337 b,Hot,Superterran,hydrogen-rich,non-habitable,2.41,Lyr,588,Transit,2016
CoRoT-22 b,Hot,Neptunian,metals-rich,non-habitable,4.88,Ser,592,Primary Transit,2011
Kepler-1644 b,Hot,Superterran,metals-rich,non-habitable,1.88,Dra,592,Transit,2016
Kepler-653 b,Hot,Superterran,metals-rich,non-habitable,1.95,Lyr,593,Transit,2016
Kepler-653 c,Hot,Subterran,no-atmosphere,non-habitable,0.78,Lyr,593,Transit,2016
Kepler-1353 b,Hot,Superterran,metals-rich,non-habitable,1.8,Cyg,596,Transit,2016
HAT-P-50 b,Hot,Jovian,metals-rich,non-habitable,14.43,Gem,597,Primary Transit,2015
Kepler-913 b,Hot,Superterran,metals-rich,non-habitable,2.06,Cyg,597,Transit,2016
CoRoT-23 b,Hot,Jovian,hydrogen-rich,non-habitable,12.1,Ser,600,Primary Transit,2011
CoRoT-24 b,Hot,Superterran,metals-rich,non-habitable,3.7,Mon,600,Primary Transit,2011
CoRoT-24 c,Hot,Neptunian,metals-rich,non-habitable,4.93,Mon,600,Primary Transit,2011
Kepler-1572 b,Hot,Terran,no-atmosphere,non-habitable,0.94,Lyr,600,Transit,2016
OGLE-2015-BLG-0954L b,Cold,Jovian,hydrogen-rich,non-habitable,11.67,Sgr,600,Microlensing,2016
Kepler-934 b,Hot,Superterran,metals-rich,non-habitable,2.08,Cyg,603,Transit,2016
K2-99 b,Hot,Jovian,metals-rich,non-habitable,14.45,Vir,604,Primary Transit,2016
Kepler-585 b,Hot,Neptunian,no-atmosphere,non-habitable,2.82,Lyr,604,Transit,2016
Kepler-784 b,Hot,Superterran,metals-rich,non-habitable,1.58,Cyg,604,Transit,2016
Kepler-979 b,Hot,Neptunian,metals-rich,non-habitable,2.72,Cyg,606,Transit,2016
Kepler-1277 b,Hot,Superterran,metals-rich,non-habitable,1.6,Cyg,606,Transit,2016
Kepler-961 b,Hot,Superterran,metals-rich,non-habitable,2.54,Lyr,607,Transit,2016
Kepler-1032 b,Hot,Superterran,metals-rich,non-habitable,1.87,Lyr,607,Transit,2016
Kepler-1274 b,Hot,Terran,metals-rich,non-habitable,1.42,Lyr,609,Transit,2016
Kepler-853 b,Hot,Superterran,metals-rich,non-habitable,1.69,Dra,610,Transit,2016
Kepler-1010 b,Hot,Superterran,metals-rich,non-habitable,2.32,Cyg,610,Transit,2016
Kepler-1240 b,Hot,Terran,no-atmosphere,non-habitable,1.15,Lyr,614,Transit,2016
Kepler-803 b,Hot,Neptunian,metals-rich,non-habitable,3.79,Cyg,615,Transit,2016
Kepler-1171 b,Hot,Neptunian,no-atmosphere,non-habitable,2.55,Cyg,615,Transit,2016
Kepler-1194 b,Hot,Terran,metals-rich,non-habitable,1.51,Lyr,616,Transit,2016
Kepler-436 b,Hot,Neptunian,metals-rich,non-habitable,2.73,Cyg,618,transit,2015
Kepler-436 c,Hot,Superterran,metals-rich,non-habitable,2.33,Cyg,618,Transit,2016
Kepler-965 b,Hot,Neptunian,metals-rich,non-habitable,3.38,Cyg,618,Transit,2016
